Object_Name_PT_EN,F_DL_1,F_DL_2,F_DL_3,F_DL_4,M_DL_1,M_DL_2,M_DL_3,M_DL_4,M_DL_5,M_DL_6,V_DL_1,V_DL_2,V_DL_3,V_DL_4,V_DL_5
lima|nail_file,-0.19393,-0.21702,-0.10905,0.085311,0.18513,0.0057239,0.056678,-0.32907,-0.17562,-0.14088,-0.16468,-0.0012952,-0.0545,0.15367,-0.23814
lupa|magnifying_glass,0.11691,-0.1531,0.045877,-0.21191,-0.098004,-0.05888,-0.17255,0.0065361,0.064197,0.32785,0.049306,0.019698,-0.16818,0.1749,0.26433
manipulo_da_porta|door_handle,-0.072442,0.088774,0.20578,0.17851,0.15725,0.021962,-0.094369,0.31616,-0.24915,0.019917,-0.054557,-0.33527,-0.17829,-0.10424,-0.032204
maquina_de_barbear|electric_shaver,-0.1383,-0.1834,-0.11485,0.13408,-0.24264,0.058422,-0.15082,0.11222,-0.099003,-0.31881,-0.043439,-0.12316,0.18091,-0.22441,-0.26023
martelo|hammer,0.015912,-0.080497,0.2438,-0.055423,-0.25939,0.1059,-0.085152,0.12295,-0.043808,0.22807,-0.09222,0.050251,-0.21123,-0.13056,0.17855
moedor_pimenta|pepper_mill,-0.28847,0.11314,-0.096625,-0.032355,-0.064338,0.080453,-0.012979,0.30119,-0.23219,-0.0058354,0.070358,-0.081544,0.24438,-0.083468,-0.051802
mola_roupa|clothes_peg,0.010779,-0.13883,-0.017237,0.17903,0.26158,0.11398,0.025619,-0.10891,0.34774,-0.048608,-0.31835,-0.023383,0.24899,-0.097754,0.03959
pa|shovel,0.11206,0.078342,0.12082,-0.028154,-0.37264,0.048253,-0.043875,-0.21417,0.077134,0.1669,0.092944,0.18937,-0.33388,0.039144,0.13533
parafuso|screw,0.073637,-0.11537,0.1905,0.056482,0.19168,0.092084,0.24759,0.20494,-0.13142,0.13517,-0.23525,0.025016,-0.22522,-0.07452,0.017841
peso|dumbell,0.29304,0.019207,0.16527,-0.00011561,-0.39058,-0.21298,0.23958,0.11438,0.12195,-0.052616,0.18712,-0.32903,-0.19794,-0.0118,0.1282
piao|spinning_top,0.43689,0.023883,-0.094626,0.064633,-0.01914,-0.28201,0.34525,0.12367,-0.1454,-0.063378,0.16901,-0.38026,-0.10198,0.037618,-0.018314
pinca|tweezers,-0.059743,-0.21789,-0.026172,0.15864,0.33887,0.032646,-0.085522,-0.060846,0.3251,-0.046856,-0.29327,0.14874,0.10209,0.032975,-0.026734
pincel|paintbrush,0.048819,-0.1461,-0.034125,-0.12781,0.075547,0.20661,0.10384,-0.26076,-0.18063,0.13213,-0.10279,0.25056,-0.1638,0.096418,-0.11159
prego|nail,0.073976,-0.1148,0.19074,0.053023,0.19175,0.02522,0.31235,0.1449,-0.079838,0.16527,-0.29471,0.086079,-0.24929,-0.039845,-0.014182
quebra_nozes|nutcracker,-0.2056,0.010658,0.010913,-0.056351,0.25924,0.12891,-0.30775,0.10918,0.21224,0.083428,-0.26438,0.099684,0.311,-0.033871,-0.010043
ralador|grater,-0.27203,0.057798,-0.077405,-0.053591,-0.069814,0.26344,-0.075863,0.10209,-0.32327,-0.12842,0.012179,0.059938,0.37003,0.084157,-0.078547
raquete|tennis_racket,0.33578,0.058616,-0.072144,-0.098208,-0.31693,-0.038369,0.15816,-0.14895,-0.0057657,0.09772,0.20601,0.03459,-0.2665,0.1939,0.12645
rato_pc|mouse_pc,0.22423,-0.17289,-0.090186,-0.060708,-0.023521,0.045647,-0.011095,0.038856,0.054347,-0.46356,-0.15235,-0.45167,0.095261,0.12134,-0.02293
remo|oar,0.26273,0.12786,-0.06453,-0.058146,-0.4451,0.037701,0.11182,-0.051158,-0.07015,-0.039726,0.10051,0.030594,-0.30768,0.13506,-0.018779
rolha|cork,-0.17599,0.098954,0.064236,0.12977,0.30757,-0.23984,0.21448,0.12538,-0.13463,0.10302,0.27832,-0.28508,0.1385,0.075171,0.0031791
rolo_massa|rolling_pin,-0.22774,0.19073,0.036602,-0.092794,-0.30423,-0.14925,-0.1045,0.042041,-0.21064,-0.11687,0.06597,0.038382,-0.018021,0.0033391,-0.32306
saco_pasteleiro|piping_bag,-0.26458,0.15748,0.046669,-0.010722,-0.20236,0.00027816,-0.098544,0.26095,0.29421,-0.0092264,0.09851,-0.042384,0.18465,0.034778,-0.30883
secador|hair_dryer,0.029837,-0.16445,-0.21027,0.18185,-0.16406,0.087018,-0.30406,0.069456,-0.087035,-0.22425,0.0093313,-0.077236,0.02951,-0.34186,-0.1451
seringa|syringe,0.12642,-0.085067,0.0026731,0.209,0.20282,0.099002,0.1805,0.28817,0.30556,0.09885,-0.20622,0.17085,-0.042243,-0.031026,-0.21602
taco_golfe|golf_club,0.30862,0.1168,-0.0072,-0.12863,-0.39421,0.16173,0.23015,-0.13554,-0.043384,0.024497,0.1076,0.082839,-0.36833,-0.009812,-0.047038
tampa_garrafa|bottle_cap,-0.13813,0.05031,0.047544,0.17866,0.21459,-0.20042,0.12841,0.19008,-0.27619,0.060798,0.24218,-0.27017,0.12793,0.067272,0.13371
tesoura|scissors,-0.15938,-0.22867,-0.039038,-0.028955,0.33632,0.23039,-0.12339,-0.18113,0.23908,-0.018573,-0.39602,0.062392,0.16138,-0.052576,0.073192
tigela|bowl,-0.12809,0.28166,0.0079284,0.026254,-0.0096444,-0.48677,-0.030441,-0.017153,0.12708,0.015328,0.31303,0.16884,0.17175,-0.037778,-0.12542
varinha_magica|hand_blender,-0.25996,0.15085,-0.077781,-0.12469,-0.18206,0.10513,-0.13855,0.20305,-0.099263,-0.087121,0.0021744,0.10422,-0.034168,-0.16573,-0.19829
vassoura|broom,0.038367,0.081777,-0.17557,-0.09318,-0.26462,0.23267,0.031188,-0.24982,0.062692,-0.017332,0.12734,0.17192,-0.21454,0.0023599,-0.1083
